Player,Prg. Pass Distance,Expected Assist,Key Pass,Pass into Final 3rd,Pass into Penalty Area,Prg. Pass,Tackles Won,Tackles Defensive 3rd,Tackles Middle 3rd,Tackles Attacking 3rd,Interceptions,Dribblers Tackled,Carries,Prg. Carries,Carries into Final 3rd,Carries into Penalty Area,Pass Received,Prg. Passes Received
Orkun Kökçü,343,0.11,1.98,8.44,1.46,9.38,0.73,0.73,0.83,0.1,0.31,0.83,54.3,1.88,1.98,0.31,54.2,2.6
Pierre Kunde,298.1,0.05,0.47,4.65,0.93,7.21,1.4,0.93,1.16,0.23,0.47,1.63,44.2,1.4,0.47,0,46,0.7
Moussa Kyabou,45.1,0.11,0.64,0.64,0,0.43,2.34,2.34,1.06,0,1.7,1.91,10,0,0,0,11.1,0.21
Aïssa Laïdouni,205.9,0.13,2.05,3.59,1.79,6.67,2.05,0.77,1.54,0,1.79,1.54,42.3,1.79,2.05,0,38.7,3.08
Aïssa Laïdouni,74.2,0,0,0.77,0.77,2.31,1.92,1.92,0.77,0.38,0,1.54,23.8,1.54,0,0.38,25,5.38
Hugo Larsson,107.5,0.03,0.5,1.75,0,3.5,1,0,1,0,0.25,0.25,27.8,0.5,0.75,0,35.5,1.5
Oscar Lewicki,366.2,0,0.26,3.85,0.26,4.62,0.77,0.51,0,0.26,0.51,0.77,42.6,0.51,1.03,0.26,50.3,0.51
Lincoln,149.4,0.08,0.98,2.55,1.57,4.31,0.59,0.2,0.78,0,0.39,0.39,26.3,1.37,0.59,0.59,35.9,5.1
Lucas Lingman,283.8,0.11,0.73,6.73,0.73,6.18,0.55,0.55,0.55,0.18,1.09,0.55,43.6,0.55,0.73,0,48.9,0.91
Manuel Locatelli,299.7,0.01,0.42,6.62,0.42,7.75,1.41,1.13,1.13,0,1.55,0.99,50.3,0.42,0.85,0,46.9,1.27
Senne Lynen,169.5,0.07,0.71,2.22,0.3,2.93,1.01,0.71,0.51,0.1,0.71,1.01,32.7,0.61,0.61,0.3,39.5,0.61
Yann M'Vila,341.9,0.09,0.31,4.38,0,2.81,0.63,0.31,0.94,0,2.81,0.63,32.5,0,0,0,32.2,1.25
