,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
12,65603,88,BlockedShot,0.7580000305175781,0.625,0.06201338768005371,Michy Batshuayi,h,1678,DirectFreekick,2015,RightFoot,2036,Marseille,Montpellier,2,2,2015-12-06 17:00:00,,Standard
13,65604,89,SavedShot,0.785,0.6969999694824218,0.0204143226146698,Michy Batshuayi,h,1678,OpenPlay,2015,RightFoot,2036,Marseille,Montpellier,2,2,2015-12-06 17:00:00,Rémy Cabella,BallRecovery
3,64907,23,MissedShots,0.9380000305175781,0.46,0.35825347900390625,Michy Batshuayi,h,1678,OpenPlay,2015,Head,2046,Marseille,GFC Ajaccio,1,1,2015-12-13 20:00:00,Brice Dja Djédjé,Aerial
4,64909,25,SavedShot,0.8590000152587891,0.4620000076293945,0.10616204142570496,Michy Batshuayi,h,1678,OpenPlay,2015,RightFoot,2046,Marseille,GFC Ajaccio,1,1,2015-12-13 20:00:00,Benjamin Mendy,TakeOn
5,64910,25,MissedShots,0.8719999694824219,0.3220000076293945,0.04471264034509659,Michy Batshuayi,h,1678,OpenPlay,2015,RightFoot,2046,Marseille,GFC Ajaccio,1,1,2015-12-13 20:00:00,,Rebound
6,64914,36,Goal,0.9359999847412109,0.5420000076293945,0.41715577244758606,Michy Batshuayi,h,1678,OpenPlay,2015,Head,2046,Marseille,GFC Ajaccio,1,1,2015-12-13 20:00:00,Rémy Cabella,Cross
8,64919,65,MissedShots,0.895,0.524000015258789,0.12871010601520538,Michy Batshuayi,h,1678,OpenPlay,2015,LeftFoot,2046,Marseille,GFC Ajaccio,1,1,2015-12-13 20:00:00,Mauricio Isla,Pass
9,64920,89,SavedShot,0.8859999847412109,0.5109999847412109,0.08926601707935333,Michy Batshuayi,h,1678,OpenPlay,2015,RightFoot,2046,Marseille,GFC Ajaccio,1,1,2015-12-13 20:00:00,Lucas Ocampos,Cross
1,65313,36,SavedShot,0.8490000152587891,0.3559999847412109,0.053252410143613815,Michy Batshuayi,a,1678,OpenPlay,2015,RightFoot,2058,Bordeaux,Marseille,1,1,2015-12-21 00:00:00,Abdel Barrada,Pass
3,65317,48,MissedShots,0.879000015258789,0.5709999847412109,0.10504443198442459,Michy Batshuayi,a,1678,OpenPlay,2015,LeftFoot,2058,Bordeaux,Marseille,1,1,2015-12-21 00:00:00,Benjamin Mendy,Pass
