,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
8,53909,59,BlockedShot,0.9030000305175782,0.31799999237060544,0.04847966134548187,Jordon Ibe,h,481,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,,None
9,53910,60,BlockedShot,0.86,0.7190000152587891,0.03379187360405922,James Milner,h,489,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Adam Lallana,Pass
10,53912,65,MissedShots,0.7469999694824219,0.47299999237060547,0.01734522357583046,Jordan Henderson,h,605,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Emre Can,HeadPass
11,53913,67,BlockedShot,0.92,0.47,0.05416111648082733,Roberto Firmino,h,482,OpenPlay,2015,Head,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Alberto Moreno,TakeOn
12,53914,68,BlockedShot,0.745999984741211,0.6079999923706054,0.01535789668560028,Alberto Moreno,h,608,FromCorner,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,,None
13,53915,68,MissedShots,0.875999984741211,0.5529999923706055,0.037539754062891006,Roberto Firmino,h,482,FromCorner,2015,Head,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Alberto Moreno,Cross
14,53916,70,BlockedShot,0.765,0.5879999923706055,0.02301354892551899,Alberto Moreno,h,608,OpenPlay,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,,None
15,53917,73,SavedShot,0.895,0.7580000305175781,0.0346105583012104,Christian Benteke,h,606,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Adam Lallana,Pass
16,53918,74,MissedShots,0.8330000305175781,0.740999984741211,0.02583853341639042,Alberto Moreno,h,608,OpenPlay,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Adam Lallana,Pass
17,53919,75,BlockedShot,0.8880000305175781,0.63,0.07154809683561325,Adam Lallana,h,486,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Emre Can,Pass
18,53920,79,BlockedShot,0.850999984741211,0.625999984741211,0.0560433454811573,Christian Benteke,h,606,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Jordan Henderson,Chipped
19,53921,85,BlockedShot,0.799000015258789,0.38,0.03564108535647392,Jordon Ibe,h,481,OpenPlay,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Joe Allen,Pass
20,53922,89,BlockedShot,0.7559999847412109,0.415,0.06392166018486023,Alberto Moreno,h,608,DirectFreekick,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,,Standard
21,53923,89,Goal,0.875999984741211,0.5120000076293946,0.07136701047420502,Joe Allen,h,480,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Christian Benteke,HeadPass
0,53891,13,Goal,0.9119999694824219,0.3840000152587891,0.1071823462843895,Aaron Ramsey,a,504,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Joel Campbell,Throughball
1,53893,24,BlockedShot,0.9230000305175782,0.555,0.42103391885757446,Aaron Ramsey,a,504,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Olivier Giroud,HeadPass
2,53894,24,Goal,0.9830000305175781,0.59,0.23548884689807892,Olivier Giroud,a,502,FromCorner,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Aaron Ramsey,Cross
3,53895,27,MissedShots,0.9719999694824218,0.5259999847412109,0.8719269633293152,Olivier Giroud,a,502,OpenPlay,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Theo Walcott,Pass
4,53896,28,SavedShot,0.85,0.3129999923706055,0.042765289545059204,Joel Campbell,a,506,OpenPlay,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Mesut Özil,Pass
5,53898,32,BlockedShot,0.8419999694824218,0.27,0.02599283866584301,Joel Campbell,a,506,OpenPlay,2015,LeftFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,,None
6,53899,42,BlockedShot,0.8130000305175781,0.555,0.05843324959278107,Theo Walcott,a,503,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Nacho Monreal,Pass
7,53902,45,MissedShots,0.9230000305175782,0.38,0.07349561899900436,Joel Campbell,a,506,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Mesut Özil,Cross
8,53904,50,MissedShots,0.7769999694824219,0.45099998474121095,0.027171319350600243,Theo Walcott,a,503,OpenPlay,2015,RightFoot,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Nacho Monreal,TakeOn
9,53905,53,MissedShots,0.87,0.5570000076293945,0.033098649233579636,Olivier Giroud,a,502,SetPiece,2015,Head,289,Liverpool,Arsenal,3,3,2016-01-14 00:00:00,Mesut Özil,Cross
