,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
24,312729,68,BlockedShot,0.8430000305175781,0.43900001525878907,0.07611186057329178,Roberto Firmino,h,482,OpenPlay,2019,LeftFoot,11670,Liverpool,Arsenal,3,1,2019-08-24 17:30:00,,None
2,316007,22,BlockedShot,0.8,0.5179999923706055,0.06399092078208923,Roberto Firmino,a,482,OpenPlay,2019,LeftFoot,11680,Burnley,Liverpool,0,3,2019-08-31 17:30:00,,TakeOn
4,316009,24,SavedShot,0.8859999847412109,0.48200000762939454,0.015384657308459282,Roberto Firmino,a,482,FromCorner,2019,Head,11680,Burnley,Liverpool,0,3,2019-08-31 17:30:00,Mohamed Salah,Aerial
7,316015,57,BlockedShot,0.915,0.46799999237060547,0.12187527120113373,Roberto Firmino,a,482,OpenPlay,2019,LeftFoot,11680,Burnley,Liverpool,0,3,2019-08-31 17:30:00,,Tackle
10,316018,63,BlockedShot,0.9119999694824219,0.61,0.12072008103132248,Roberto Firmino,a,482,OpenPlay,2019,RightFoot,11680,Burnley,Liverpool,0,3,2019-08-31 17:30:00,Jordan Henderson,Chipped
13,316023,79,Goal,0.8119999694824219,0.4370000076293945,0.10348904877901077,Roberto Firmino,a,482,OpenPlay,2019,RightFoot,11680,Burnley,Liverpool,0,3,2019-08-31 17:30:00,Mohamed Salah,Pass
12,317040,60,SavedShot,0.89,0.44299999237060544,0.07791872322559357,Roberto Firmino,h,482,OpenPlay,2019,Head,11683,Liverpool,Newcastle United,3,1,2019-09-14 11:30:00,Trent Alexander-Arnold,Cross
15,317043,62,MissedShots,0.9069999694824219,0.47099998474121096,0.026227103546261787,Roberto Firmino,h,482,FromCorner,2019,Head,11683,Liverpool,Newcastle United,3,1,2019-09-14 11:30:00,Trent Alexander-Arnold,Aerial
1,321266,29,Goal,0.9459999847412109,0.505,0.49558913707733154,Roberto Firmino,a,482,SetPiece,2019,Head,11701,Chelsea,Liverpool,1,2,2019-09-22 15:30:00,Andrew Robertson,Aerial
3,321270,46,SavedShot,0.9290000152587891,0.61,0.21972985565662384,Roberto Firmino,a,482,FromCorner,2019,RightFoot,11701,Chelsea,Liverpool,1,2,2019-09-22 15:30:00,Trent Alexander-Arnold,Cross
3,324093,32,MissedShots,0.950999984741211,0.5479999923706055,0.49199235439300537,Roberto Firmino,h,482,OpenPlay,2019,LeftFoot,11715,Liverpool,Leicester,2,1,2019-10-05 15:00:00,Trent Alexander-Arnold,Cross
11,324101,64,MissedShots,0.8680000305175781,0.38299999237060545,0.09708251804113388,Roberto Firmino,h,482,OpenPlay,2019,RightFoot,11715,Liverpool,Leicester,2,1,2019-10-05 15:00:00,Trent Alexander-Arnold,Pass
14,324105,75,BlockedShot,0.8730000305175781,0.325,0.052564315497875214,Roberto Firmino,h,482,OpenPlay,2019,RightFoot,11715,Liverpool,Leicester,2,1,2019-10-05 15:00:00,Mohamed Salah,Pass
